1,0.744550,0.353403,1.309713,3,0,29
2,0.394617,0.723541,1.309713,0,3,5
4,0.249656,0.950468,1.098537,5,3,34
6,-0.106037,0.817320,1.309713,0,5,8
7,-0.356699,0.915703,1.098537,8,5,37
9,-0.566187,0.598899,1.309713,0,8,11
10,-0.826802,0.531152,1.098537,11,8,40
12,-0.810084,0.151721,1.309713,0,11,14
13,-0.981106,-0.056270,1.098537,14,11,43
15,-0.744555,-0.353410,1.309713,0,14,17
16,-0.760663,-0.622208,1.098537,17,14,46
18,-0.394624,-0.723550,1.309713,0,17,20
19,-0.249657,-0.950475,1.098537,20,17,49
21,0.106041,-0.817317,1.309713,0,20,23
22,0.356702,-0.915701,1.098537,23,20,52
24,0.566194,-0.598897,1.309713,0,23,26
25,0.826810,-0.531152,1.098537,26,23,55
27,0.810081,-0.151719,1.309713,0,26,29
28,0.981102,0.056273,1.098537,29,26,58
30,0.760658,0.622201,1.098537,3,29,32
31,0.159294,1.306044,0.752752,3,32,34
33,-0.649529,1.615423,0.071227,34,32,64
35,-0.638806,1.150240,0.752752,5,34,37
36,-1.475004,0.925120,0.071227,37,34,67
38,-1.192898,0.555091,0.752752,8,37,40
39,-1.737076,-0.118553,0.071227,40,37,70
41,-1.291343,-0.252099,0.752752,11,40,43
42,-1.335635,-1.116936,0.071227,43,40,73
44,-0.896548,-0.962976,0.752752,14,43,46
45,-0.424038,-1.688692,0.071227,46,43,76
47,-0.159290,-1.306051,0.752752,17,46,49
48,0.649540,-1.615421,0.071227,49,46,79
50,0.638806,-1.150236,0.752752,20,49,52
51,1.475002,-0.925118,0.071227,52,49,82
53,1.192902,-0.555091,0.752752,23,52,55
54,1.737070,0.118553,0.071227,55,52,85
56,1.291339,0.252100,0.752752,26,55,58
57,1.335632,1.116939,0.071227,58,55,88
59,0.896544,0.962982,0.752752,29,58,32
60,0.424034,1.688696,0.071227,32,58,62
61,-0.424034,1.688696,-0.071227,32,62,64
63,-0.896544,0.962980,-0.752752,64,62,94
65,-1.335635,1.116939,-0.071227,34,64,67
66,-1.291343,0.252100,-0.752752,67,64,97
68,-1.737076,0.118553,-0.071227,37,67,70
69,-1.192898,-0.555091,-0.752752,70,67,100
71,-1.475004,-0.925118,-0.071227,40,70,73
72,-0.638805,-1.150236,-0.752752,73,70,103
74,-0.649531,-1.615421,-0.071227,43,73,76
75,0.159292,-1.306051,-0.752752,76,73,106
77,0.424036,-1.688692,-0.071227,46,76,79
78,0.896545,-0.962976,-0.752752,79,76,109
80,1.335646,-1.116937,-0.071227,49,79,82
81,1.291353,-0.252100,-0.752752,82,79,112
83,1.737068,-0.118553,-0.071227,52,82,85
84,1.192890,0.555091,-0.752752,85,82,115
86,1.475002,0.925120,-0.071227,55,85,88
87,0.638805,1.150240,-0.752752,88,85,118
89,0.649529,1.615423,-0.071227,58,88,62
90,-0.159294,1.306044,-0.752752,62,88,92
91,-0.760658,0.622201,-1.098537,62,92,94
93,-0.744552,0.353403,-1.309713,94,92,121
95,-0.981106,0.056273,-1.098537,64,94,97
96,-0.810083,-0.151719,-1.309711,97,94,121
98,-0.826802,-0.531152,-1.098537,67,97,100
99,-0.566187,-0.598897,-1.309711,100,97,121
101,-0.356699,-0.915700,-1.098537,70,100,103
102,-0.106037,-0.817317,-1.309711,103,100,121
104,0.249657,-0.950475,-1.098537,73,103,106
105,0.394617,-0.723549,-1.309711,106,103,121
107,0.760652,-0.622208,-1.098537,76,106,109
108,0.744547,-0.353410,-1.309711,109,106,121
110,0.981116,-0.056271,-1.098537,79,109,112
111,0.810087,0.151721,-1.309711,112,109,121
113,0.826803,0.531152,-1.098537,82,112,115
114,0.566191,0.598899,-1.309711,115,112,121
116,0.356695,0.915703,-1.098537,85,115,118
117,0.106034,0.817319,-1.309711,118,115,121
119,-0.249657,0.950468,-1.098537,88,118,92
120,-0.394619,0.723541,-1.309713,92,118,121
